technology,tech_group,kind,alias
Python,language,tool,python
JavaScript,language,tool,javascript
TypeScript,language,tool,typescript
Java,language,tool,java
Go,language,tool,golang
C#,language,tool,c#
C#,language,tool,csharp
C#,language,tool,dotnet
C++,language,tool,c++
C++,language,tool,cplusplus
Rust,language,tool,rust
PHP,language,tool,php
Ruby,language,tool,ruby
SQL,language,tool,sql
React,framework,tool,react
Angular,framework,tool,angular
Vue,framework,tool,vue
Vue,framework,tool,vuejs
Vue,framework,tool,vue.js
Next.js,framework,tool,nextjs
Next.js,framework,tool,next.js
Node.js,framework,tool,nodejs
Node.js,framework,tool,node.js
FastAPI,framework,tool,fastapi
Django,framework,tool,django
Flask,framework,tool,flask
Spring,framework,tool,spring
Ruby on Rails,framework,tool,rails
GraphQL,framework,tool,graphql
PyTorch,ml,tool,pytorch
TensorFlow,ml,tool,tensorflow
Machine Learning,ml,concept,machine learning
Artificial Intelligence,ml,concept,ai
Artificial Intelligence,ml,concept,artificial intelligence
LLM,ml,concept,llm
LLM,ml,concept,llms
NLP,ml,concept,nlp
Computer Vision,ml,concept,computer vision
Data Science,ml,concept,data science
Data Science,ml,concept,data scientist
Apache Spark,data_eng,tool,spark
Big Data,data_eng,concept,big data
Airflow,data_eng,tool,airflow
dbt,data_eng,tool,dbt
Snowflake,data_eng,tool,snowflake
BigQuery,data_eng,tool,bigquery
BigQuery,data_eng,tool,big query
Databricks,data_eng,tool,databricks
Kafka,data_eng,tool,kafka
ETL,data_eng,concept,etl
Data Engineering,data_eng,concept,data engineering
Data Engineering,data_eng,concept,data engineer
PostgreSQL,database,tool,postgresql
PostgreSQL,database,tool,postgres
MySQL,database,tool,mysql
MongoDB,database,tool,mongodb
MongoDB,database,tool,mongo
Redis,database,tool,redis
Elasticsearch,database,tool,elasticsearch
Elasticsearch,database,tool,elastic search
AWS,cloud,tool,aws
AWS,cloud,tool,amazon web services
Azure,cloud,tool,azure
GCP,cloud,tool,gcp
GCP,cloud,tool,google cloud
Docker,devops,tool,docker
Kubernetes,devops,tool,kubernetes
Kubernetes,devops,tool,k8s
Terraform,devops,tool,terraform
CI/CD,devops,concept,ci cd
CI/CD,devops,concept,cicd
DevOps,devops,concept,devops
Linux,devops,tool,linux
Backend,role_discipline,role,backend
Backend,role_discipline,role,backend development
Backend,role_discipline,role,back end
Frontend,role_discipline,role,frontend
Frontend,role_discipline,role,front end
Full Stack,role_discipline,role,full stack
Full Stack,role_discipline,role,fullstack
QA/Testing,role_discipline,role,qa
QA/Testing,role_discipline,role,testing
QA/Testing,role_discipline,role,quality assurance
Security,role_discipline,role,security
Security,role_discipline,role,infosec
Security,role_discipline,role,cybersecurity
Security,role_discipline,role,cyber security
Software Engineering,role_discipline,role,software engineering
Software Engineering,role_discipline,role,software engineer
Software Engineering,role_discipline,role,software development
Blockchain,domain,concept,blockchain
Blockchain,domain,concept,web3
